NWCG_REPORTING_UNIT_NAME,DURATION,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE
Butte Unit,,Arson,0.4,39.852847,-121.910365
Angeles National Forest,0,Miscellaneous,0.1,34.6430556,-118.750278
Sequoia National Forest,0,Miscellaneous,0.1,35.6580556,-118.433056
Lake Tahoe Basin Management Unit,0,Miscellaneous,0.1,38.8938889,-119.991944
Siskiyou Unit,0,Debris Burning,0.3,41.327552,-122.338176
Siskiyou Unit,,Debris Burning,0.5,41.60085,-122.733917
Nevada-Yuba-Placer Unit,0,Equipment Use,1,38.976146,-121.258594
Sonoma-Lake Napa Unit,,Debris Burning,0.1,38.30305555,-122.245
Nevada-Yuba-Placer Unit,,Children,2,38.92611111,-121.3838889
Riverside Unit,,Miscellaneous,1,33.90305555,-116.54
Lassen National Forest,0,Debris Burning,0.25,40.84,-121.514167
Shasta-Trinity National Forest,0,Miscellaneous,0.25,41.0166667,-122.400833
California Desert District,0,Missing/Undefined,1.5,33.90211,-116.53639
Fresno-Kings Unit,,Missing/Undefined,0.2,36.6046,-120.587698
Shasta-Trinity Unit,,Missing/Undefined,0.1,40.44961,-122.00706
Shasta-Trinity Unit,,Debris Burning,1,40.75197,-121.95423
Shasta-Trinity Unit,,Debris Burning,1,40.840589,-121.516242
Siskiyou Unit,,Debris Burning,0.1,41.38405,-122.414083
Siskiyou Unit,,Debris Burning,0.1,41.37242588,-122.4323089
Tehama-Glenn Unit,,Miscellaneous,1,39.96111111,-122.165
Tehama-Glenn Unit,,Miscellaneous,1,39.96111111,-122.165
Riverside Unit,,Miscellaneous,1,33.705,-117.32
Riverside Unit,,Equipment Use,1,33.61305555,-116.1811111
Angeles National Forest,0,Miscellaneous,0.1,34.5491667,-118.428056
California Desert District,0,Miscellaneous,0.1,35.6219,-117.5869
Central California District,0,Campfire,0.1,36.563703,-118.129203
Riverside Unit,,Powerline,0.1,33.834365,-117.353694
San Bernardino Unit,,Miscellaneous,0.1,36.594448,-118.115607
San Bernardino Unit,,Powerline,0.01,37.402769,-118.585029
Riverside Unit,,Missing/Undefined,1,33.730832,-117.39986
Fresno-Kings Unit,,Children,1,36.72,-119.7269444
San Bernardino Unit,,Miscellaneous,0.5,34.11611111,-117.2419444
California Desert District,0,Equipment Use,0.1,33.66886,-115.65158
San Benito-Monterey Unit,0,Equipment Use,0.5,35.952143,-120.861704
Tulare Unit,,Powerline,1,36.128107,-118.858992
San Bernardino Unit,,Miscellaneous,0.5,34.12111111,-117.2011111
Riverside Unit,,Miscellaneous,1,33.57388888,-114.605
San Bernardino National Forest,1,Miscellaneous,0.1,34.2363889,-117.500556
Cleveland National Forest,0,Miscellaneous,2,33.8488889,-117.613611
Cleveland National Forest,0,Miscellaneous,0.8,33.1230556,-116.8825
Angeles National Forest,0,Miscellaneous,0.1,34.2894444,-118.3975
Central California District,0,Missing/Undefined,1,35.7261,-118.1522
San Benito-Monterey Unit,,Miscellaneous,1,36.88305555,-121.5619444
Fresno-Kings Unit,,Miscellaneous,0.1,36.67805555,-119.7861111
Merced-Mariposa Unit,,Miscellaneous,0.1,37.38305555,-120.7088889
Riverside Unit,,Miscellaneous,0.1,33.94305555,-117.2288889
Riverside Unit,,Miscellaneous,0.1,33.92,-117.2780556
San Luis Obispo Unit,,Arson,0.1,35.325,-120.7288889
Angeles National Forest,0,Equipment Use,0.1,34.4236111,-118.426111
Angeles National Forest,0,Equipment Use,0.1,34.4430556,-118.364722
Shasta-Trinity National Forest,0,Campfire,0.01,41.2333333,-122
Southern California Agency,0,Children,0.5,33.7592,-116.8636
San Luis National Wildlife Refuge,0,Debris Burning,9,37.27861111,-120.8341667
Riverside Unit,,Equipment Use,0.02,33.775216,-117.368052
